구분,사용 내용,이름,링크,제공서비스,제공기관
지도,"배경지도, 대시보드 미니맵, 안전 지도 레이어 배경지도",WMTS API,https://www.vworld.kr/dev/v4dv_wmtsguide_s001.do,V-WORLD,국토교통부
지도,검색,검색 API,https://www.vworld.kr/dev/v4dv_search_s001.do,V-WORLD,국토교통부
지도,좌표 변환,Geocoder API,https://www.vworld.kr/dev/v4dv_geocoderguide2_s001.do,V-WORLD,국토교통부
지도,법정동 경계 확인,행정구역_읍면동(법정동),https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?dsId=30603,V-WORLD,국토교통부
지도,행정동 경계 확인,(센서스경계)행정동경계,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?dsId=30017,V-WORLD,국가데이터처
지도,자치구 경계 확인,(센서스경계)시군구경계,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?dsId=30015,V-WORLD,국가데이터처
전월세 실거래,아파트 전월세 실거래가 기반 시세와 매물 분석 등,아파트 전월세 실거래가 자료,https://www.data.go.kr/data/15126474/openapi.do,공공데이터포털,국토교통부
전월세 실거래,오피스텔 전월세 실거래가 기반 시세와 매물 분석 등,오피스텔 전월세 실거래가 자료,https://www.data.go.kr/data/15126475/openapi.do,공공데이터포털,국토교통부
전월세 실거래,단독·다가구 전월세 실거래가 기반 시세와 매물 분석 등,단독/다가구 전월세 실거래가 자료,https://www.data.go.kr/data/15126472/openapi.do,공공데이터포털,국토교통부
전월세 실거래,연립다세대 전월세 실거래가 기반 시세와 매물 분석 등,연립다세대 전월세 실거래가 자료,https://www.data.go.kr/data/15126473/openapi.do,공공데이터포털,국토교통부
전월세 전환율,보증금을 월세로 환산하여 환산월세 계산,지역별 전월세 전환율 종합주택,https://stat.kosis.kr/statHtml_host/statHtml.do?orgId=408&tblId=DT_30404_N0010&dbUser=NSI_IN_408,KOSIS,한국부동산원
전월세 전환율,보증금을 월세로 환산하여 환산월세 계산,지역별 전월세 전환율 아파트,https://stat.kosis.kr/statHtml_host/statHtml.do?orgId=408&tblId=DT_30404_N0010&dbUser=NSI_IN_408,KOSIS,한국부동산원
전월세 전환율,보증금을 월세로 환산하여 환산월세 계산,지역별 전월세 전환율 연립/다세대,https://stat.kosis.kr/statHtml_host/statHtml.do?orgId=408&tblId=DT_30404_N0010&dbUser=NSI_IN_408,KOSIS,한국부동산원
전월세 전환율,보증금을 월세로 환산하여 환산월세 계산,지역별 전월세 전환율 단독주택,https://stat.kosis.kr/statHtml_host/statHtml.do?orgId=408&tblId=DT_30404_N0010&dbUser=NSI_IN_408,KOSIS,한국부동산원
상권/생활시설,여러 시설 기반 서비스 제공,상가(상권)정보 API,https://www.data.go.kr/data/15012005/openapi.do,공공데이터포털,소상공인시장진흥공단
상권/생활시설,여러 시설 기반 서비스 제공,"다이소|매장찾기",https://www.daiso.co.kr/cs/shop,다이소,다이소
상권/생활시설,분류 표 활용,제10차 한국표준산업분류,https://kssc.mods.go.kr:8443/ksscNew_web/index.jsp,통계분류포털,국가데이터처
의료,"병원, 치과 운영 정보 표시",전국 병·의원 찾기 서비스,https://www.data.go.kr/data/15000736/openapi.do,공공데이터포털,국립중앙의료원
의료,약국 운영 정보 표시,전국 약국 정보 조회 서비스,https://www.data.go.kr/data/15000576/openapi.do,공공데이터포털,국립중앙의료원
의료,진료과목 확인,의료기관별상세정보서비스,https://www.data.go.kr/data/15001699/openapi.do,공공데이터포털,건강보험심사평가원
의료,진료과목 확인,병원정보서비스,https://www.data.go.kr/data/15001698/openapi.do,공공데이터포털,건강보험심사평가원
의료,응급실 운영 확인,전국 응급의료기관 정보 조회 서비스,https://www.data.go.kr/data/15000563/openapi.do,공공데이터포털,국립중앙의료원
의료,명절 진료 운영 확인,전국 명절 비상 진료기관 정보 조회 서비스,https://www.data.go.kr/data/15000480/openapi.do,공공데이터포털,국립중앙의료원
교통,버스정류장 위치 확인,버스정류장,https://www.data.go.kr/data/15142032/openapi.do,공공데이터포털,국토교통부
교통,버스정류장 위치 확인,서울시 버스정류소 위치정보,https://data.seoul.go.kr/dataList/OA-15067/S/1/datasetView.do,서울열린데이터광장,서울특별시
교통,버스 혼잡도 확인,노선별 혼잡도,https://www.data.go.kr/data/15142068/openapi.do,공공데이터포털,국토교통부
