adong_code,univ_code,time
1111051500,C003,33
1111051500,B001,39
1111051500,C002,50
1111051500,C005,35
1111051500,C004,65
1111051500,C001,72
1111051500,C007,48
1111051500,C006,71
1111051500,E001,58
1111051500,C009,65
1111051500,C008,75
1111051500,M001,68
1111051500,P002,55
1111051500,U001,52
1111051500,U002,58
1111051500,P001,75
1111051500,U005,40
1111051500,U004,72
1111051500,U007,67
1111051500,U006,63
1111051500,U003,34
1111051500,U009,42
1111051500,U010,73
1111051500,U011,74
1111051500,U008,71
1111051500,U012,49
1111051500,U016,29
1111051500,U013,62
1111051500,U014,56
1111051500,U015,87
1111051500,U017,76
1111051500,U018,56
1111051500,U019,79
1111051500,U022,41
1111051500,U020,57
1111051500,U021,92
1111051500,U023,69
1111051500,U024,83
1111051500,U026,77
1111051500,U025,79
1111051500,U028,56
1111051500,U029,70
1111051500,U030,63
1111051500,U031,51
1111051500,U027,50
1111051500,U033,41
1111051500,U032,69
1111051500,U036,70
1111051500,U034,81
1111051500,U035,39
1111051500,U037,68
1111051500,U039,50
1111051500,U038,84
1111051500,U040,72
1111051500,U041,72
1111051500,U042,61
1111051500,U043,74
1111051500,U044,58
1111051500,U045,72
1111051500,U046,58
1111051500,V001,53
1111051500,U047,62
1111051500,V002,48
1111053000,C003,15
1111053000,B001,37
1111053000,C001,70
1111053000,C002,49
1111053000,C005,44
1111053000,C004,70
1111053000,C006,65
1111053000,C007,44
1111053000,C009,54
1111053000,C008,70
1111053000,E001,55
1111053000,M001,66
1111053000,P001,69
1111053000,P002,53
1111053000,U001,49
1111053000,U002,55
1111053000,U003,28
1111053000,U004,64
1111053000,U007,54
1111053000,U006,58
1111053000,U009,51
1111053000,U008,67
1111053000,U005,35
1111053000,U010,67
1111053000,U011,72
1111053000,U012,46
1111053000,U013,59
1111053000,U014,49
1111053000,U016,39
1111053000,U017,45
1111053000,U015,79
1111053000,U018,63
1111053000,U019,75
1111053000,U020,53
1111053000,U022,38
1111053000,U021,83
1111053000,U023,72
1111053000,U024,76
1111053000,U025,82
1111053000,U027,47
1111053000,U028,53
1111053000,U026,76
1111053000,U029,68
1111053000,U030,57
1111053000,U031,54
1111053000,U033,35
1111053000,U032,66
1111053000,U035,33
1111053000,U034,73
1111053000,U036,64
1111053000,U038,64
1111053000,U037,67
1111053000,U040,66
1111053000,U041,69
1111053000,U042,57
1111053000,U043,67
1111053000,U044,46
1111053000,U045,68
1111053000,U046,50
1111053000,U047,51
1111053000,U039,44
1111053000,V002,35
1111053000,V001,50
1111054000,B001,40
1111054000,C002,67
1111054000,C001,79
1111054000,C004,64
1111054000,C005,52
1111054000,C003,44
1111054000,C007,46
1111054000,C006,70
1111054000,C008,73
1111054000,E001,62
1111054000,C009,64
1111054000,M001,68
1111054000,P001,77
1111054000,P002,63
1111054000,U002,62
1111054000,U003,40
1111054000,U004,71
1111054000,U005,42
1111054000,U001,53
1111054000,U006,62
1111054000,U007,57
1111054000,U009,59
1111054000,U008,70
1111054000,U011,74
1111054000,U010,75
1111054000,U012,55
1111054000,U013,62
1111054000,U014,64
1111054000,U016,47
1111054000,U017,56
1111054000,U015,86
1111054000,U018,71
1111054000,U019,78
1111054000,U020,73
1111054000,U021,91
1111054000,U023,68
1111054000,U024,82
1111054000,U027,36
1111054000,U022,42
1111054000,U025,78
1111054000,U026,76
1111054000,U030,62
1111054000,U028,56
1111054000,U029,66
1111054000,U031,53
1111054000,U032,64
1111054000,U033,50
1111054000,U034,80
1111054000,U035,52
1111054000,U036,69
1111054000,U037,63
1111054000,U038,71
1111054000,U039,50
1111054000,U040,81
1111054000,U041,76
1111054000,U042,60
1111054000,U043,72
1111054000,U044,54
1111054000,U046,57
1111054000,U045,71
1111054000,V001,57
1111054000,U047,59
1111054000,V002,46
1111055000,B001,55
1111055000,C002,54
1111055000,C001,97
1111055000,C004,87
1111055000,C007,63
1111055000,C005,39
1111055000,C006,87
1111055000,C003,49
1111055000,C008,86
1111055000,E001,74
1111055000,C009,75
1111055000,M001,85
1111055000,P002,75
1111055000,P001,91
1111055000,U001,68
1111055000,U002,74
1111055000,U003,50
1111055000,U004,83
1111055000,U005,56
1111055000,U009,46
1111055000,U007,71
1111055000,U006,79
1111055000,U008,87
1111055000,U010,89
1111055000,U011,76
1111055000,U012,65
1111055000,U016,34
1111055000,U013,78
1111055000,U014,60
1111055000,U015,98
1111055000,U017,80
1111055000,U018,61
1111055000,U019,95
1111055000,U020,59
1111055000,U021,100
1111055000,U022,57
1111055000,U023,89
1111055000,U024,99
1111055000,U025,95
1111055000,U026,93
1111055000,U028,72
1111055000,U029,75
1111055000,U030,79
1111055000,U031,71
1111055000,U033,57
1111055000,U032,88
1111055000,U034,92
1111055000,U027,68
1111055000,U035,55
1111055000,U036,87
1111055000,U037,88
1111055000,U039,66
1111055000,U038,85
1111055000,U040,88
1111055000,U041,88
1111055000,U042,77
1111055000,U043,90
1111055000,U045,74
1111055000,U044,74
1111055000,U046,69
1111055000,U047,78
1111055000,V001,69
1111055000,V002,64
1111056000,B001,70
1111056000,C001,111
1111056000,C005,44
1111056000,C002,59
1111056000,C003,60
1111056000,C004,86
1111056000,C006,107
1111056000,C007,76
1111056000,C009,82
1111056000,E001,85
1111056000,C008,78
1111056000,M001,79
1111056000,P001,102
1111056000,P002,82
1111056000,U001,69
1111056000,U002,85
1111056000,U003,61
1111056000,U004,99
1111056000,U005,67
1111056000,U007,68
1111056000,U006,83
1111056000,U011,84
1111056000,U008,86
1111056000,U010,100
1111056000,U012,76
1111056000,U014,64
1111056000,U013,72
1111056000,U015,94
1111056000,U009,43
1111056000,U016,54
1111056000,U018,64
1111056000,U020,64
1111056000,U017,79
1111056000,U021,120
1111056000,U019,90
1111056000,U023,87
1111056000,U024,91
1111056000,U022,71
1111056000,U026,104
1111056000,U025,106
1111056000,U027,79
1111056000,U029,71
1111056000,U028,65
1111056000,U030,90
1111056000,U031,79
1111056000,U032,96
1111056000,U033,68
1111056000,U034,108
1111056000,U035,66
1111056000,U036,98
1111056000,U037,95
1111056000,U039,84
1111056000,U038,112
1111056000,U040,76
1111056000,U041,91
1111056000,U042,81
1111056000,U045,72
1111056000,U043,101
1111056000,U044,73
1111056000,U046,86
1111056000,U047,80
1111056000,V001,80
1111056000,V002,71
1111057000,B001,41
1111057000,C001,73
1111057000,C003,40
1111057000,C005,35
1111057000,C002,48
1111057000,C004,62
1111057000,C007,50
1111057000,C006,68
1111057000,C009,58
1111057000,C008,72
1111057000,E001,57
1111057000,P001,79
1111057000,M001,67
1111057000,P002,54
1111057000,U001,52
1111057000,U003,30
1111057000,U002,57
1111057000,U004,66
1111057000,U006,60
1111057000,U007,56
1111057000,U008,69
1111057000,U009,55
1111057000,U010,71
1111057000,U011,73
