sttn_id,stop_number
1001,07771
10017,13167
10018,20155
10019,13166
1002,07003
10020,21194
100230,12608
1003,07108
10034,21120
100380,06755
1004,07104
100460,02639
10047,21184
1005,11103
10050,21186
100510,16829
100588,22813
100600,23812
1007,08124
10072,21185
10076,21195
10077,21198
1008,08118
10080,13171
100852,04781
10094,16109
10107,15220
10110,15312
10111,16192
10120,16191
10128,16142
10137,15311
10145,16140
10148,16139
10174,15280
10175,15250
1020,07417
10200,16106
10202,17210
10204,17209
10206,17207
10207,16105
1021,11863
10210,17164
10221,15230
10228,17223
10232,15281
10237,16006
10238,15231
10253,17226
10255,17225
10264,17228
1027,09007
10274,16179
10276,17227
1028,09011
10280,15203
10290,15160
10305,15254
10323,15255
10347,15166
10353,15253
10355,15115
10358,15103
10360,15163
10370,15109
10371,15114
10387,15105
10399,15141
10401,15108
10411,17231
104128,17102
10413,15107
10416,15165
10418,15140
10424,15168
10429,17149
10430,15151
10438,15106
10439,18105
10441,15152
10442,15147
10474,15153
10482,15148
10486,17141
10494,17140
10503,17137
10506,17113
10507,19196
10508,17136
10509,19197
1051,11835
10512,19198
10517,17135
10518,19199
1052,11834
10523,17152
10524,17134
10529,17133
1053,11832
10530,18126
10531,17121
10532,18127
10536,17132
10537,17131
10544,15158
10547,17111
1055,11827
10551,17104
10553,17119
10557,17106
10564,17118
10565,19208
1057,23400
10574,17128
10576,19206
10581,19207
10582,17109
10588,17116
10591,17117
10593,17127
10597,17126
1060,11250
10600,19002
10601,18121
10603,19001
10607,19223
10609,19224
10610,17114
10614,18122
10615,19220
10616,19193
10617,19192
10618,18133
10621,18123
10625,17124
10628,19164
1063,23801
10631,17230
10634,18119
10635,19183
10640,19167
10642,19276
10643,19221
10646,18132
10648,19264
10649,19222
1065,11161
10653,19274
10655,17123
10657,17122
10661,18005
10665,18148
10670,18146
10674,18149
10678,19271
10681,18147
10682,19265
10689,19173
10694,19187
10695,18010
10696,19262
10698,19186
10700,18009
10708,19177
10711,17229
10715,19269
10718,21001
10723,19272
10725,19176
1073,08967
10732,18188
10733,19234
10734,18184
10736,18168
10738,19261
10740,18191
10741,18185
10742,19235
10744,18192
10746,18170
10749,18169
10752,18165
107546,15325
10756,18171
10758,18167
1076,09013
10762,18182
10765,18172
107658,22285
107662,22286
10767,18183
10769,19245
10770,19246
107715,09203
107721,09205
107805,09207
107806,09208
10781,18181
10784,18178
107858,09209
10786,19243
107866,09210
107885,10253
107886,10252
10789,19117
10790,19260
10791,19242
10792,18179
107931,09155
10798,18176
10799,12334
10801,14253
10803,18177
10807,12333
10811,14252
10812,12172
108134,10232
10815,19109
10818,04202
10822,04201
10823,11198
10825,23220
10827,11196
108288,10266
10829,04210
10831,04269
108317,10144
10832,11207
10835,06206
10836,04196
10839,04195
10842,06201
10843,23168
10849,11267
108510,03237
108534,03241
108541,03240
108545,03236
10855,23334
108552,03235
10861,06122
10862,06199
10864,23171
10870,08189
10871,11251
10874,11268
10881,08190
10883,11273
10884,11252
10885,22318
10888,22319
10890,11182
10891,06192
10893,11271
10895,06193
10896,06124
