ldong_code,univ_code,time
1111010100,C003,34
1111010100,B001,45
1111010100,C004,67
1111010100,C002,45
1111010100,C005,30
1111010100,C001,74
1111010100,C007,52
1111010100,C006,73
1111010100,E001,60
1111010100,C009,66
1111010100,C008,76
1111010100,P001,76
1111010100,M001,70
1111010100,U002,60
1111010100,P002,57
1111010100,U001,57
1111010100,U003,35
1111010100,U005,42
1111010100,U004,74
1111010100,U006,64
1111010100,U007,62
1111010100,U009,37
1111010100,U011,78
1111010100,U010,74
1111010100,U012,50
1111010100,U008,73
1111010100,U013,63
1111010100,U015,88
1111010100,U014,51
1111010100,U017,77
1111010100,U018,52
1111010100,U019,80
1111010100,U020,58
1111010100,U016,25
1111010100,U021,94
1111010100,U022,46
1111010100,U023,70
1111010100,U024,85
1111010100,U025,80
1111010100,U026,79
1111010100,U027,57
1111010100,U028,61
1111010100,U029,65
1111010100,U030,65
1111010100,U031,53
1111010100,U033,42
1111010100,U032,70
1111010100,U034,83
1111010100,U035,40
1111010100,U036,72
1111010100,U037,70
1111010100,U038,86
1111010100,U039,51
1111010100,U040,77
1111010100,U041,74
1111010100,U043,75
1111010100,U042,63
1111010100,U044,63
1111010100,U045,57
1111010100,U046,60
1111010100,U047,63
1111010100,V001,55
1111010100,V002,46
1111010200,B001,39
1111010200,C003,33
1111010200,C001,72
1111010200,C002,50
1111010200,C004,65
1111010200,C005,35
1111010200,C006,71
1111010200,C007,48
1111010200,C008,75
1111010200,C009,65
1111010200,E001,58
1111010200,M001,69
1111010200,P001,75
1111010200,P002,55
1111010200,U002,58
1111010200,U001,52
1111010200,U005,40
1111010200,U003,34
1111010200,U007,67
1111010200,U006,63
1111010200,U009,42
1111010200,U004,72
1111010200,U008,71
1111010200,U011,75
1111010200,U010,73
1111010200,U012,49
1111010200,U013,62
1111010200,U016,29
1111010200,U014,56
1111010200,U015,87
1111010200,U017,76
1111010200,U018,56
1111010200,U019,79
1111010200,U020,57
1111010200,U022,41
1111010200,U021,92
1111010200,U023,69
1111010200,U024,83
1111010200,U027,50
1111010200,U025,79
1111010200,U026,77
1111010200,U029,70
1111010200,U028,56
1111010200,U030,63
1111010200,U031,51
1111010200,U032,69
1111010200,U033,41
1111010200,U034,81
1111010200,U035,39
1111010200,U036,71
1111010200,U038,84
1111010200,U039,50
1111010200,U037,68
1111010200,U040,72
1111010200,U041,72
1111010200,U043,74
1111010200,U042,61
1111010200,U044,58
1111010200,U045,72
1111010200,U046,59
1111010200,V001,53
1111010200,U047,62
1111010200,V002,48
1111010300,B001,35
1111010300,C003,36
1111010300,C002,50
1111010300,C005,35
1111010300,C001,84
1111010300,C004,70
1111010300,C006,74
1111010300,C007,42
1111010300,C009,60
1111010300,C008,76
1111010300,E001,58
1111010300,M001,69
1111010300,P001,78
1111010300,P002,58
1111010300,U001,47
1111010300,U002,58
1111010300,U003,36
1111010300,U004,67
1111010300,U005,43
1111010300,U006,65
1111010300,U007,62
1111010300,U009,42
1111010300,U008,74
1111010300,U011,71
1111010300,U010,75
1111010300,U012,51
1111010300,U013,62
1111010300,U014,57
1111010300,U016,30
1111010300,U015,90
1111010300,U017,79
1111010300,U018,57
1111010300,U020,54
1111010300,U019,82
1111010300,U022,37
1111010300,U021,95
1111010300,U023,73
1111010300,U027,45
1111010300,U024,86
1111010300,U025,82
1111010300,U026,80
1111010300,U028,51
1111010300,U030,65
1111010300,U029,62
1111010300,U031,54
1111010300,U032,72
1111010300,U033,43
1111010300,U034,76
1111010300,U035,41
1111010300,U036,72
1111010300,U037,71
1111010300,U038,67
1111010300,U039,52
1111010300,U040,72
1111010300,U042,64
1111010300,U041,71
1111010300,U043,75
1111010300,U044,53
1111010300,U045,67
1111010300,U047,65
1111010300,U046,53
1111010300,V001,53
1111010300,V002,42
1111010400,B001,36
1111010400,C003,34
1111010400,C005,35
1111010400,C002,50
1111010400,C004,71
1111010400,C001,74
1111010400,C006,73
1111010400,C007,43
1111010400,E001,62
1111010400,C008,76
1111010400,C009,63
1111010400,M001,72
1111010400,P001,80
1111010400,P002,57
1111010400,U001,48
1111010400,U002,62
1111010400,U004,71
1111010400,U005,45
1111010400,U006,64
1111010400,U007,67
1111010400,U003,35
1111010400,U009,42
1111010400,U008,73
1111010400,U010,78
1111010400,U012,52
1111010400,U011,75
1111010400,U016,29
1111010400,U013,66
1111010400,U014,56
1111010400,U017,77
1111010400,U015,88
1111010400,U018,56
1111010400,U019,80
1111010400,U022,37
1111010400,U020,58
1111010400,U021,90
1111010400,U023,73
1111010400,U024,85
1111010400,U025,80
1111010400,U026,79
1111010400,U027,45
1111010400,U028,52
1111010400,U029,62
1111010400,U031,53
1111010400,U030,65
1111010400,U032,71
1111010400,U033,46
1111010400,U034,80
1111010400,U035,44
1111010400,U036,72
1111010400,U037,70
1111010400,U038,86
1111010400,U039,55
1111010400,U040,72
1111010400,U041,76
1111010400,U042,63
1111010400,U043,75
1111010400,U044,54
1111010400,U045,67
1111010400,U046,57
1111010400,U047,57
1111010400,V001,57
1111010500,C003,15
1111010400,V002,43
1111010500,B001,37
1111010500,C001,76
1111010500,C002,48
1111010500,C005,33
1111010500,C004,64
1111010500,C007,44
1111010500,C006,69
1111010500,C008,77
1111010500,C009,59
1111010500,E001,58
1111010500,P001,76
1111010500,M001,68
1111010500,P002,54
1111010500,U001,49
1111010500,U002,58
1111010500,U004,66
1111010500,U006,62
1111010500,U007,57
1111010500,U003,34
1111010500,U009,40
1111010500,U005,41
1111010500,U010,74
1111010500,U011,74
1111010500,U008,71
1111010500,U012,49
1111010500,U016,28
1111010500,U013,62
1111010500,U014,54
1111010500,U017,52
1111010500,U015,82
1111010500,U018,55
1111010500,U019,77
1111010500,U020,57
1111010500,U022,38
1111010500,U021,86
1111010500,U023,68
1111010500,U024,78
1111010500,U025,78
1111010500,U027,46
1111010500,U026,76
1111010500,U029,63
1111010500,U028,53
1111010500,U030,62
1111010500,U031,51
1111010500,U032,68
1111010500,U033,41
1111010500,U034,75
1111010500,U035,40
1111010500,U036,68
1111010500,U037,68
1111010500,U039,51
1111010500,U038,66
1111010500,U040,73
1111010500,U041,72
1111010500,U042,60
1111010500,U043,71
1111010500,U044,54
1111010500,U045,68
1111010500,U046,53
1111010500,U047,59
1111010500,V001,53
1111010500,V002,44
1111010600,C003,15
1111010600,B001,39
1111010600,C001,71
1111010600,C005,34
1111010600,C002,49
1111010600,C004,57
1111010600,C006,63
1111010600,C007,44
1111010600,C009,53
1111010600,E001,52
1111010600,C008,67
1111010600,M001,62
1111010600,P001,70
1111010600,P002,49
1111010600,U001,51
1111010600,U002,52
1111010600,U005,36
1111010600,U003,29
1111010600,U004,61
1111010600,U006,55
1111010600,U007,51
1111010600,U009,41
1111010600,U008,64
1111010600,U010,68
1111010600,U012,43
1111010600,U011,67
1111010600,U013,56
1111010600,U016,29
1111010600,U014,50
1111010600,U015,76
1111010600,U017,46
1111010600,U020,58
1111010600,U018,56
1111010600,U019,72
1111010600,U022,40
1111010600,U021,80
1111010600,U023,61
1111010600,U024,72
1111010600,U027,42
1111010600,U025,76
1111010600,U026,74
1111010600,U028,55
1111010600,U030,66
1111010600,U029,56
1111010600,U031,48
1111010600,U032,62
1111010600,U033,36
1111010600,U035,34
1111010600,U034,70
1111010600,U038,61
1111010600,U039,45
1111010600,U037,65
1111010600,U040,68
1111010600,U036,62
1111010600,U043,65
1111010600,U042,53
1111010600,U041,66
1111010600,U044,48
1111010600,U045,67
1111010600,U046,47
1111010600,V001,47
1111010600,U047,51
1111010600,V002,32
1111010700,C003,15
1111010700,B001,36
1111010700,C005,40
1111010700,C002,55
1111010700,C001,67
1111010700,C004,56
1111010700,C006,63
1111010700,C009,52
1111010700,C007,49
1111010700,E001,50
1111010700,C008,65
1111010700,M001,61
1111010700,P002,48
1111010700,P001,70
1111010700,U001,48
1111010700,U002,50
1111010700,U005,37
1111010700,U003,31
1111010700,U004,59
1111010700,U006,53
1111010700,U007,49
