specialty_code,specialty_name,specialty_group
00,일반의,일반
01,내과,내과
02,신경과,신경과
03,정신건강의학과,정신과
04,외과,외과
05,정형외과,외과
06,신경외과,신경외과
07,심장혈관흉부외과,외과
08,성형외과,성형외과
09,마취통증의학과,기타
10,산부인과,산부인과
11,소아청소년과,소아과
12,안과,안과
13,이비인후과,이비인후과
14,피부과,피부과
15,비뇨의학과,비뇨기과
16,영상의학과,기타
17,방사선종양학과,기타
18,병리과,기타
19,진단검사의학과,기타
20,결핵과,기타
21,재활의학과,재활
22,핵의학과,기타
23,가정의학과,가정의학과
24,응급의학과,기타
25,직업환경의학과,기타
26,예방의학과,기타
27,기타1(치과),기타
28,기타4(한방),한의원
31,기타2,기타
40,기타2(2),기타
41,보건,기타
42,기타3,기타
43,보건기관치과,기타
44,보건기관한방,한의원
49,치과,기타
50,구강악안면외과,기타
51,치과보철과,기타
52,치과교정과,기타
53,소아치과,기타
54,치주과,기타
55,치과보존과,기타
56,구강내과,기타
57,영상치의학과,기타
58,구강병리과,기타
59,예방치과,기타
60,치과소계,기타
61,통합치의학과,기타
80,한방내과,한의원
81,한방부인과,한의원
82,한방소아과,한의원
83,한방안·이비인후·피부과,한의원
84,한방신경정신과,한의원
85,침구과,한의원
86,한방재활의학과,재활
87,사상체질과,한의원
88,한방응급,기타
89,한방응급,기타
90,한방소계,한의원
